Channel 1,Channel 2,Channel 3
0,13,-9
0,11,-9
0,9,-9
0,9,-9
0,5,-9
0,6,-9
0,6,-9
0,6,-9
0,5,-9
0,4,-9
0,1,-8
0,3,-8
0,3,-8
0,2,-8
0,-1,-8
0,1,-8
0,1,-8
0,2,-8
0,0,-8
0,-1,-8
0,-2,-8
0,-2,-8
0,-2,-8
0,-3,-8
0,-5,-8
0,-6,-8
0,-4,-8
0,-5,-8
0,-8,-8
0,-6,-8
0,-5,-8
0,-7,-8
0,-7,-8
0,-8,-8
0,-6,-8
0,-6,-8
0,-6,-8
0,-10,-8
0,-8,-8
0,-6,-8
0,-6,-8
0,-8,-8
0,-5,-8
0,-4,-8
0,-4,-8
0,-5,-8
0,-6,-8
0,-6,-8
0,-3,-8
0,-5,-8
0,-6,-8
0,-5,-8
0,-3,-8
0,-4,-8
0,-4,-8
0,-3,-8
0,1,-8
0,1,-8
0,-2,-8
0,-4,-8
0,-3,-8
0,-3,-8
0,-2,-8
0,-1,-8
0,-3,-8
0,-4,-8
0,-4,-8
0,0,-8
0,-3,-8
0,-4,-8
0,-2,-8
0,-1,-8
0,0,-8
0,-2,-8
0,-3,-8
0,-3,-8
0,-3,-8
0,-2,-8
0,-1,-8
0,-3,-8
0,-3,-8
0,-3,-8
0,0,-8
0,0,-8
0,-4,-8
0,-3,-8
0,-1,-8
0,1,-8
0,-1,-8
0,-1,-8
0,-4,-8
0,-2,-8
0,0,-8
0,-1,-8
0,-2,-8
0,-3,-8
0,-3,-8
0,-1,-8
0,0,-8
0,0,-8
0,-1,-8
0,-1,-8
0,1,-8
0,3,-8
0,-1,-8
0,-1,-8
0,-3,-8
0,-2,-8
0,-2,-8
0,0,-8
0,-1,-8
0,-1,-8
0,-2,-8
0,-3,-8
0,-1,-8
0,0,-8
0,0,-8
0,-2,-8
0,0,-8
0,1,-8
0,2,-8
0,0,-8
0,0,-8
0,-2,-8
0,-2,-8
0,-1,-8
0,1,-8
0,0,-8
0,-2,-8
0,-4,-8
0,-3,-8
0,-1,-8
0,-1,-8
0,-1,-8
0,-3,-8
0,-3,-8
0,0,-8
0,1,-8
0,2,-8
0,-1,-8
0,-2,-8
0,-3,-8
0,-2,-8
0,-1,-8
0,-1,-8
0,-1,-8
0,-2,-8
0,-4,-8
0,-4,-8
0,-2,-8
0,-2,-8
0,-2,-8
0,-3,-8
0,-1,-8
0,0,-8
0,2,-8
0,2,-8
0,0,-8
0,-1,-8
0,-3,-8
0,-1,-8
0,-2,-8
0,0,-8
0,-1,-8
0,-2,-8
0,-3,-8
0,-2,-8
0,-3,-8
0,0,-8
0,-1,-8
0,-1,-8
0,-4,-8
0,-2,-8
0,0,-8
0,1,-8
0,1,-8
0,-1,-8
0,-2,-8
0,-3,-8
0,-2,-8
0,-3,-8
1000,-1,35
1000,30,36
1000,66,35
1000,103,35
1000,135,35
1000,171,35
1000,202,35
1000,232,35
1000,260,35
1000,289,34
1000,315,34
1000,342,34
1000,368,34
1000,394,34
1000,416,34
1000,439,34
1000,459,34
1000,480,34
1000,500,33
1000,520,33
1000,540,33
1000,558,33
1000,575,33
1000,592,33
1000,609,33
1000,624,33
1000,639,33
1000,653,33
1000,665,33
1000,680,32
1000,692,32
1000,706,32
1000,719,32
1000,730,32
1000,740,32
1000,750,32
1000,760,32
1000,769,32
1000,779,32
1000,788,32
1000,797,32
1000,805,32
1000,813,31
1000,820,31
1000,830,31
1000,836,31
1000,843,31
1000,850,31
1000,857,31
1000,863,31
1000,871,31
1000,876,31
1000,880,31
1000,886,31
1000,891,31
1000,894,31
1000,898,31
1000,904,31
1000,907,31
1000,911,31
1000,915,31
1000,919,31
1000,922,31
1000,926,30
1000,931,30
1000,933,30
1000,936,30
1000,940,30
1000,941,30
1000,946,30
1000,948,30
1000,953,30
1000,955,30
1000,957,30
1000,960,30
1000,961,30
1000,961,30
1000,964,30
1000,965,30
1000,965,30
1000,968,30
1000,969,30
1000,970,30
1000,970,30
1000,973,30
1000,974,30
1000,974,30
1000,974,30
1000,976,30
1000,976,30
1000,978,30
1000,978,30
1000,979,30
1000,982,30
1000,982,30
1000,981,30
1000,982,30
1000,984,30
1000,985,30
1000,986,30
1000,985,30
1000,988,30
1000,988,30
1000,989,30
1000,990,30
1000,990,30
1000,991,30
1000,992,30
1000,992,30
1000,994,30
1000,993,30
1000,993,30
1000,994,30
1000,994,30
1000,995,30
1000,994,30
1000,995,30
1000,994,30
1000,996,30
1000,996,30
1000,997,30
1000,995,30
1000,996,30
1000,997,30
1000,997,30
1000,998,30
1000,997,30
1000,997,30
1000,997,30
1000,998,30
1000,998,30
1000,999,30
1000,998,30
1000,998,30
1000,998,30
1000,999,30
1000,998,30
1000,999,30
1000,1000,30
1000,1000,30
1000,1000,30
1000,1000,30
1000,1000,30
1000,1000,29
1000,1000,29
1000,1001,29
1000,1000,30
1000,1001,29
1000,1001,29
1000,1002,29
1000,1002,29
1000,1001,29
1000,1001,29
1000,1001,29
1000,1001,29
1000,1000,29
1000,1000,30
1000,1001,29
1000,1001,29
1000,1000,29
1000,1002,29
1000,1001,29
1000,1001,29
1000,1002,29
1000,1003,29
1000,1002,29
1000,1003,29
1000,1003,29
1000,1002,29
1000,1002,29
-1000,931,-57
-1000,836,-56
-1000,745,-55
-1000,656,-53
-1000,572,-52
-1000,488,-51
-1000,410,-50
-1000,336,-48
-1000,262,-47
-1000,193,-46
-1000,125,-45
-1000,60,-44
-1000,-5,-43
-1000,-61,-42
-1000,-104,-41
-1000,-145,-41
-1000,-185,-40
-1000,-224,-40
-1000,-260,-39
-1000,-293,-39
-1000,-328,-39
-1000,-360,-38
-1000,-389,-38
-1000,-419,-37
-1000,-445,-37
-1000,-472,-37
-1000,-496,-37
-1000,-519,-36
-1000,-541,-36
-1000,-563,-36
-1000,-583,-36
-1000,-602,-35
-1000,-620,-35
-1000,-639,-35
-1000,-655,-35
-1000,-671,-35
-1000,-686,-34
-1000,-701,-34
-1000,-715,-34
-1000,-729,-34
-1000,-742,-34
-1000,-755,-34
-1000,-766,-34
-1000,-778,-33
-1000,-788,-33
-1000,-799,-33
-1000,-810,-33
-1000,-817,-33
-1000,-825,-33
-1000,-834,-33
-1000,-842,-33
-1000,-849,-32
-1000,-857,-32
-1000,-864,-32
-1000,-870,-32
-1000,-877,-32
-1000,-883,-32
-1000,-890,-32
-1000,-896,-32
-1000,-902,-32
-1000,-907,-32
-1000,-911,-32
-1000,-915,-32
-1000,-920,-31
-1000,-925,-31
-1000,-929,-31
-1000,-932,-31
-1000,-935,-31
-1000,-940,-31
-1000,-944,-31
-1000,-947,-31
-1000,-950,-31
-1000,-952,-31
-1000,-953,-31
-1000,-956,-31
-1000,-958,-31
-1000,-959,-31
-1000,-961,-31
-1000,-963,-31
-1000,-965,-31
-1000,-969,-31
-1000,-969,-31
-1000,-970,-31
-1000,-971,-31
-1000,-974,-31
-1000,-975,-31
-1000,-976,-31
-1000,-979,-31
-1000,-980,-31
-1000,-981,-31
-1000,-983,-30
-1000,-984,-30
-1000,-986,-30
-1000,-987,-30
-1000,-989,-30
-1000,-989,-30
-1000,-991,-30
-1000,-993,-30
-1000,-993,-30
-1000,-995,-30
-1000,-996,-30
-1000,-997,-30
-1000,-998,-30
-1000,-998,-30
-1000,-998,-30
-1000,-997,-30
-1000,-998,-30
-1000,-999,-30
-1000,-1000,-30
-1000,-1000,-30
-1000,-1000,-30
-1000,-998,-30
-1000,-999,-30
-1000,-1000,-30
-1000,-999,-30
-1000,-999,-30
-1000,-999,-30
-1000,-999,-30
-1000,-1000,-30
-1000,-1000,-30
-1000,-999,-30
-1000,-998,-30
-1000,-999,-30
-1000,-999,-30
-1000,-1000,-30
-1000,-1001,-30
-1000,-1001,-30
-1000,-1000,-30
-1000,-1001,-30
-1000,-1000,-30
-1000,-1000,-30
-1000,-1000,-30
-1000,-1000,-30
-1000,-999,-30
-1000,-1000,-30
-1000,-999,-30
1000,-999,57
1000,-923,56
1000,-826,55
1000,-734,54
1000,-647,52
1000,-562,51
1000,-479,50
1000,-403,49
1000,-328,48
1000,-256,46
1000,-185,45
1000,-120,44
1000,-55,43
1000,6,42
1000,55,41
1000,100,41
1000,144,40
1000,180,40
1000,220,39
1000,256,39
1000,290,39
1000,325,38
1000,355,38
1000,386,37
1000,414,37
1000,443,37
1000,469,36
1000,493,36
1000,519,36
1000,541,36
1000,562,35
1000,584,35
1000,605,35
1000,623,35
1000,640,34
1000,659,34
1000,675,34
1000,690,34
1000,704,34
1000,719,33
1000,731,33
1000,745,33
1000,757,33
1000,769,33
1000,780,33
1000,790,33
1000,800,32
1000,810,32
1000,818,32
1000,829,32
1000,838,32
1000,845,32
1000,852,32
1000,860,32
1000,865,32
1000,872,32
1000,877,31
1000,884,31
1000,890,31
1000,895,31
1000,901,31
1000,906,31
1000,912,31
1000,916,31
1000,920,31
1000,925,31
1000,927,31
1000,931,31
1000,936,31
1000,938,31
1000,942,31
1000,945,30
1000,948,30
1000,951,30
1000,954,30
1000,957,30
1000,961,30
1000,963,30
1000,966,30
1000,970,30
1000,970,30
1000,972,30
1000,974,30
1000,974,30
1000,975,30
1000,976,30
1000,977,30
1000,978,30
1000,980,30
1000,981,30
1000,982,30
1000,983,30
1000,985,30
1000,987,30
1000,988,30
1000,988,30
1000,989,30
1000,989,30
1000,990,30
1000,991,30
1000,993,30
1000,994,29
1000,994,29
1000,996,29
1000,997,29
1000,998,29
1000,999,29
1000,1001,29
1000,1000,29
1000,1001,29
1000,1002,29
1000,1003,29
1000,1003,29
1000,1004,29
1000,1004,29
1000,1004,29
1000,1005,29
1000,1005,29
1000,1005,29
1000,1006,29
1000,1004,29
1000,1004,29
1000,1004,29
1000,1003,29
1000,1004,29
1000,1003,29
1000,1004,29
1000,1005,29
1000,1003,29
1000,1004,29
1000,1004,29
1000,1002,29
1000,1002,29
1000,1003,29
1000,1004,29
1000,1003,29
1000,1001,29
1000,1002,29
1000,1002,29
1000,1004,29
1000,1004,29
1000,1003,29
1000,1003,29
1000,1002,29
1000,1002,29
1000,1001,29
1000,1001,29
1000,1002,29
1000,1000,29
1000,1001,29
1000,1001,29
1000,1002,29
1000,1001,29
1000,1001,29
1000,1002,29
1000,1002,29
1000,1002,29
1000,1000,29
1000,1001,29
1000,1002,29
1000,1001,29
1000,1000,29
1000,1000,29
1000,1000,29
1000,1002,29
1000,1000,29
1000,1002,29
1000,1000,29
1000,1001,29
1000,1000,29
1000,1001,29
1000,1001,29
1000,1000,29
1000,1000,29
1000,999,29
1000,1001,29
1000,1001,29
1000,1000,29
1000,1000,29
1000,999,29
1000,999,29
1000,999,29
1000,1001,29
1000,999,29
1000,999,29
1000,1002,29
1000,1001,29
1000,999,29
1000,1000,29
1000,999,29
