magx,magy,magz
0.2369,0.4201,-0.876
0.2369,0.4201,-0.876
0.2685,0.4083,-0.8724
0.3169,0.4564,-0.8314
0.6123,0.3741,-0.6965
0.804,-0.5336,-0.2623
0.804,-0.5336,-0.2623
0.4439,-0.8658,-0.2311
0.316,-0.7088,-0.6307
0.1655,-0.2304,-0.9589
0.1063,0.3104,-0.9446
0.1063,0.3104,-0.9446
0.1188,0.4201,-0.8997
0.2421,0.4012,-0.8834
0.4241,0.3684,-0.8273
0.5797,0.2814,-0.7647
0.5797,0.2814,-0.7647
0.7644,0.1416,-0.629
0.8516,0.029,-0.5234
0.8858,-0.0834,-0.4565
0.9041,-0.1657,-0.3938
0.9041,-0.1657,-0.3938
0.9088,-0.1772,-0.3777
0.8912,-0.2861,-0.3521
0.9024,-0.2612,-0.3428
0.902,-0.2747,-0.333
0.902,-0.2747,-0.333
0.8542,-0.4513,-0.2582
0.7616,-0.5905,-0.2669
0.7028,-0.6693,-0.2411
0.6757,-0.7045,-0.2171
0.6757,-0.7045,-0.2171
0.6548,-0.7106,-0.2576
0.7124,-0.6587,-0.2423
0.6761,-0.6922,-0.2526
0.6839,-0.6861,-0.248
0.6839,-0.6861,-0.248
0.6839,-0.6861,-0.248
0.701,-0.6752,-0.2297
0.7399,-0.6187,-0.2641
0.6754,-0.6777,-0.2908
0.6754,-0.6777,-0.2908
0.7039,-0.6415,-0.305
0.7034,-0.6322,-0.3248
0.7266,-0.6248,-0.2858
0.706,-0.6549,-0.2696
0.706,-0.6549,-0.2696
0.6721,-0.6888,-0.2716
0.4817,-0.8112,-0.3316
0.5411,-0.7387,-0.4018
0.5348,-0.7963,-0.2827
0.5348,-0.7963,-0.2827
0.566,-0.7227,-0.3967
0.6134,-0.6975,-0.3704
0.5757,-0.7039,-0.4161
0.5884,-0.7118,-0.3836
0.5884,-0.7118,-0.3836
0.6289,-0.6933,-0.3517
0.6173,-0.7238,-0.3082
0.675,-0.6914,-0.2575
0.6667,-0.6689,-0.3287
0.6667,-0.6689,-0.3287
0.5394,-0.7474,-0.3878
0.3458,-0.7969,-0.4953
-0.2144,-0.8066,-0.5509
-0.3786,-0.6801,-0.6278
-0.3786,-0.6801,-0.6278
-0.3052,-0.4417,-0.8437
0.14,-0.1817,-0.9733
0.6002,0.0065,-0.7998
0.7815,0.027,-0.6233
0.7815,0.027,-0.6233
0.8813,-0.133,-0.4534
0.6716,-0.7273,-0.1414
-0.1224,-0.9134,-0.3883
-0.0628,-0.4326,-0.8994
-0.0628,-0.4326,-0.8994
0.4307,0,-0.9025
0.8318,-0.0084,-0.555
0.8059,-0.5437,-0.2343
0.5088,-0.8396,-0.1902
0.5088,-0.8396,-0.1902
0.2844,-0.8734,-0.3954
0.1105,-0.7223,-0.6827
0.103,-0.2695,-0.9575
0.2809,0.148,-0.9483
0.2809,0.148,-0.9483
0.4802,0.2198,-0.8492
0.5226,0.2131,-0.8255
0.5616,0.2317,-0.7943
0.6821,0.2262,-0.6954
0.6821,0.2262,-0.6954
0.8139,0.1242,-0.5675
0.8869,-0.0553,-0.4587
0.7286,-0.6478,-0.2226
0.1719,-0.9574,-0.232
0.1719,-0.9574,-0.232
-0.0893,-0.8366,-0.5405
0.0319,-0.4233,-0.9054
0.3528,0.0708,-0.933
0.5296,0.2905,-0.797
0.5296,0.2905,-0.797
0.5296,0.2905,-0.797
0.4156,0.4419,-0.795
0.0381,-0.8215,-0.5689
-0.0147,-0.9286,-0.3709
-0.0147,-0.9286,-0.3709
0.195,-0.6763,-0.7104
0.28,-0.0096,-0.96
0.0752,0.4654,-0.8819
-0.1073,0.2082,-0.9722
-0.1073,0.2082,-0.9722
0.4346,-0.7654,-0.4746
0.5677,-0.7898,-0.2322
0.4702,-0.3899,-0.7917
-0.0623,0.1598,-0.9852
-0.0623,0.1598,-0.9852
-0.3448,-0.1441,-0.9276
0.7478,-0.6312,-0.2059
0.899,-0.2047,-0.3871
0.5985,-0.1162,-0.7926
0.5985,-0.1162,-0.7926
